2026-01-18 00:14:51.246 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 05:52:11.645 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 05:52:11.645 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 05:52:11.656 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 06:04:54.814 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-01-18 06:04:57.014 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m29s954ms).
2026-01-18 06:20:52.877 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s862ms).
2026-01-18 06:21:07.557 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 06:21:07.557 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 06:21:07.565 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 06:37:18.725 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s828ms).
2026-01-18 06:53:14.653 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s934ms).
2026-01-18 06:53:29.493 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 06:53:29.493 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 06:53:29.516 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 07:05:47.364 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 07:05:47.365 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 07:05:47.376 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 07:06:02.483 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m17s823ms).
2026-01-18 07:21:58.201 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s717ms).
2026-01-18 07:22:13.141 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 07:22:13.143 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 07:22:13.154 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 07:38:09.101 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 07:38:09.102 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 07:38:09.110 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 07:38:24.123 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s915ms).
2026-01-18 07:53:59.729 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-01-18 07:54:02.042 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m37s920ms).
2026-01-18 08:06:40.573 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m38s532ms).
2026-01-18 08:06:55.681 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 08:06:55.682 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 08:06:55.710 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 08:23:05.592 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s15ms).
2026-01-18 08:38:57.192 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m51s600ms).
2026-01-18 08:39:12.374 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 08:39:12.374 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 08:39:12.396 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 08:55:22.981 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s803ms).
2026-01-18 09:07:41.982 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m19s1ms).
2026-01-18 09:07:57.387 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 09:07:57.387 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 09:07:57.408 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 09:24:07.890 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s903ms).
2026-01-18 09:24:35.506 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-01-18 09:40:03.763 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s873ms).
2026-01-18 09:40:19.341 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 09:40:19.341 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 09:40:19.349 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 09:56:15.220 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 09:56:15.221 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 09:56:15.230 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 09:56:29.593 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s828ms).
2026-01-18 10:08:45.343 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=12m15s750ms).
2026-01-18 10:09:01.075 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 10:09:01.075 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 10:09:01.082 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 10:25:11.236 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s881ms).
2026-01-18 10:35:59.451 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m48s215ms).
2026-01-18 10:36:15.362 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 10:36:15.363 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 10:36:15.379 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 10:52:10.502 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 10:52:10.504 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 10:52:10.518 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
2026-01-18 10:52:24.536 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s77ms).
2026-01-18 11:08:20.405 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m55s870ms).
2026-01-18 11:09:44.096 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - Re-registering apps/CAR-BASE
2026-01-18 11:09:44.096 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001: registering service...
2026-01-18 11:09:44.103 [DiscoveryClient-HeartbeatExecutor-%d] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CAR-BASE/10.128.92.100:car-base:9001 - registration status: 204
